"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"postgres","public","company","company_id","1","gen_random_uuid()","NO","uuid","","","","","","","","","","","","","","","","","","postgres","pg_catalog","uuid","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","company","created_at","2","now()","NO","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","company","name","3","","NO","text","","1073741824","","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","event_id","1","uuid_generate_v4()","NO","uuid","","","","","","","","","","","","","","","","","","postgres","pg_catalog","uuid","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","name","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","postgres","pg_catalog","varchar","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","time_from","3","","NO","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","time_to","4","","NO","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","created_at","5","now()","YES","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","event","location_id","6","","YES","uuid","","","","","","","","","","","","","","","","","","postgres","pg_catalog","uuid","","","","","6","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","item_id","1","uuid_generate_v4()","NO","uuid","","","","","","","","","","","","","","","","","","postgres","pg_catalog","uuid","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","name","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","postgres","pg_catalog","varchar","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","type","3","","NO","USER-DEFINED","","","","","","","","","","","","","","","","","","postgres","public","item_type","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","status","4","","NO","USER-DEFINED","","","","","","","","","","","","","","","","","","postgres","public","item_status","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","stock","5","","YES","integer","","","32","2","0","","","","","","","","","","","","","postgres","pg_catalog","int4","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","created_at","7","CURRENT_TIMESTAMP","YES","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","7","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","updated_at","8","CURRENT_TIMESTAMP","YES","timestamp with time zone","","","","","","6","","","","","","","","","","","","postgres","pg_catalog","timestamptz","","","","","8","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","item","emoji","9","","YES","text","","1073741824","","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","9","NO","NO","","","","","","NO","NEVER","","YES"
